diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
El Comercio (Ecuador),ecuador_elcomercio_2017_19,Los jugadores utilizaron las camisetas del seleccionado argentino Sub 20 que disputa en Ecuador el torneo Sudamericano debido a que la vestimenta del ...,sport,8 Feb. 2017,Medios argentinos destacan el 'milagro' de Atletico Tucuman en ...,2017.0,medios argentinos destacan milagro atletico tucuman,los jugadores utilizaron las camisetas del seleccionado argentino sub que disputa ecuador torneo sudamericano debido que vestimenta del,medi argentin destac milagr atlet tucum,medios argentinos destacan milagro atletico tucuman,medi argentin destac milagr atlet tucum,jugador utiliz camiset seleccion argentin sub disput torne sudamerican deb vestiment,jugadores utilizaron camisetas seleccionado argentino sub disputa torneo sudamericano debido vestimenta,los jugador utiliz las camiset del seleccion argentin sub que disput ecuador torne sudamerican deb que vestiment del
El Comercio,ecuador_elcomercio_2015_7,La Seleccion de Ecuador perdio con Argentina subcampeon mundial en el segundo amistoso desde que Gustavo Quinteros asumio la direccion tecnica de la ...,sport,31 Mar. 2015,Argentina sin Lionel Messi derroto al Ecuador en partido amistoso,2015.0,argentina sin lionel messi derroto ecuador partido amistoso,seleccion ecuador perdio con argentina subcampeon mundial segundo amistoso desde que gustavo quinteros asumio direccion tecnica,argentin lionel messi derrot part amist,argentina lionel messi derroto partido amistoso,argentin sin lionel messi derrot ecuador part amist,seleccion perdi argentin subcampeon mundial segund amist desd gustav quinter asumi direccion tecnic,seleccion perdio argentina subcampeon mundial segundo amistoso gustavo quinteros asumio direccion tecnica,seleccion ecuador perdi con argentin subcampeon mundial segund amist desd que gustav quinter asumi direccion tecnic
La Hora (Ecuador),ecuador_lahora_2018_6,"""Hay que evitar que Vicuna someta al Ecuador, nuevamente, la verguenza de tener un Vicepresidente con tacha de corrupcion. Seria conveniente que le ...",polit,28 Nov. 2018,Vicuna acorralada por varios frentes,2018.0,vicuna acorralada por varios frentes,hay que evitar que vicuna someta ecuador nuevamente verguenza tener vicepresidente con tacha corrupcion seria conveniente que,vicun acorral vari frent,vicuna acorralada varios frentes,vicun acorral por vari frent,evit vicun somet nuev verguenz ten vicepresident tach corrupcion seri convenient,evitar vicuna someta nuevamente verguenza tener vicepresidente tacha corrupcion seria conveniente,hay que evit que vicun somet ecuador nuev verguenz ten vicepresident con tach corrupcion seri convenient que
,,El Examen Nacional para la Educacion Superior (ENES) se mantendra para aquellos estudiantes que continuen sus estudios en la universidad publica o ...,educ,23 ene. 2015 -,Examenes ENES solo para entrar a universidades publicas o ...,,examenes enes solo para entrar universidades publicas,examen nacional para educacion superior enes mantendra para aquellos estudiantes que continuen sus estudios universidad publica,examen enes sol par entrar univers public,examenes enes solo entrar universidades publicas,examen enes sol par entrar univers public,exam nacional par educacion superior enes mantendr par aquell estudi continu estudi univers public,examen nacional educacion superior enes mantendra aquellos estudiantes continuen estudios universidad publica,exam nacional par educacion superior enes mantendr par aquell estudi que continu sus estudi univers public
El Comercio (Ecuador),ecuador_elcomercio_2017_51,"El presidente electo de Ecuador, Lenin Moreno, prometio a representantes de la Asociacion de Bancos Privados (ABPE) del pais que mantendra la dolarizacion ...",economi,18 May. 2017,Lenin Moreno promete a bancos mantener dolarizacion en Ecuador,2017.0,lenin moreno promete bancos mantener dolarizacion ecuador,presidente electo ecuador lenin moreno prometio representantes asociacion bancos privados abpe del pais que mantendra dolarizacion,moren promet banc manten dolarizacion,promete bancos mantener dolarizacion,lenin moren promet banc manten dolarizacion ecuador,president elect moren prometi represent asociacion banc priv abpe pais mantendr dolarizacion,presidente electo prometio representantes asociacion bancos privados abpe pais mantendra dolarizacion,president elect ecuador lenin moren prometi represent asociacion banc priv abpe del pais que mantendr dolarizacion
El Comercio,ecuador_elcomercio_2015_101,La seleccion de Ecuador Sub 17 inicio con pie derecho el Sudamericano Masculino Sub 17 que se celebra en Paraguay. El combinado tricolor derroto al ...,sport,6 Mar. 2015,La Seleccion ecuatoriana Sub 17 derroto a la favorita Argentina,2015.0,seleccion ecuatoriana sub derroto favorita argentina,seleccion ecuador sub inicio con pie derecho sudamericano masculino sub que celebra paraguay combinado tricolor derroto,seleccion ecuatorian sub derrot favorit argentin,seleccion ecuatoriana sub derroto favorita argentina,seleccion ecuatorian sub derrot favorit argentin,seleccion sub inici pie derech sudamerican masculin sub celebr paraguay combin tricolor derrot,seleccion sub inicio pie derecho sudamericano masculino sub celebra paraguay combinado tricolor derroto,seleccion ecuador sub inici con pie derech sudamerican masculin sub que celebr paraguay combin tricolor derrot
El Universo,ecuador_eluniverso_20190815,"La poliia investiga un femicidio y posterior suicidio en el norte de Quito. Segun un parte policial, Doris Camacho, de 37 anos, y Luis Simbana, de 45, aparecieron muertos en el interior de un domicilio...",crime,15 ag. 2019,Femicidio y suicidio se investigan en Quito,2019.0,femicidio suicidio investigan quito,poliia investiga femicidio posterior suicidio norte quito segun parte policial doris camacho anos luis simbana aparecieron muertos interior domicilio,femicidi suicidi investig quit,femicidio suicidio investigan,femicidi suicidi investig quit,polii investig femicidi posterior suicidi nort quit segun part policial doris camach anos luis simban aparec muert interior domicili,poliia investiga femicidio posterior suicidio norte segun parte policial doris camacho anos luis simbana aparecieron muertos interior domicilio,polii investig femicidi posterior suicidi nort quit segun part policial doris camach anos luis simban aparec muert interior domicili
El Universo,,"Actualidad Ecuador ... Las paredes de la escuela La Inmaculada Fe y Alegria, ubicada en el casco patrimonial ... Se ha definido el cronograma de actividades para el estudio de la zona afectada cercana a la escuela con el fin de establecer si ...",educ,18 sep. 2017 -,La escuela La Inmaculada Fe y Alegria de Zaruma sera demolida,,escuela inmaculada alegria zaruma sera demolida,actualidad ecuador las paredes escuela inmaculada alegria ubicada casco patrimonial definido cronograma actividades para estudio zona afectada cercana escuela con fin establecer,escuel inmacul alegri zarum ser demol,escuela inmaculada alegria zaruma sera demolida,escuel inmacul alegri zarum ser demol,actual pared escuel inmacul alegri ubic casc patrimonial defin cronogram activ par estudi zon afect cercan escuel fin establec,actualidad paredes escuela inmaculada alegria ubicada casco patrimonial definido cronograma actividades estudio zona afectada cercana escuela fin establecer,actual ecuador las pared escuel inmacul alegri ubic casc patrimonial defin cronogram activ par estudi zon afect cercan escuel con fin establec
El Comercio,ecuador_elcomercio_2018_103,"Entre los comerciantes estaban Omira Palacios y Jose Martinez, quienes decidieron emigrar al Ecuador por la devastadora crisis economica que azota al pais ...",economi,16 Sep. 2018,8 617 venezolanos laboran en el sector privado de Ecuador de ...,2018.0,venezolanos laboran sector privado ecuador,entre los comerciantes estaban omira palacios jose martinez quienes decidieron emigrar ecuador por devastadora crisis economica que azota pais,venezolan labor sector priv,venezolanos laboran sector privado,venezolan labor sector priv ecuador,comerci estab omir palaci jos martinez decid emigr devast crisis econom azot pais,comerciantes omira palacios jose martinez decidieron emigrar devastadora crisis economica azota pais,entre los comerci estab omir palaci jos martinez quien decid emigr ecuador por devast crisis econom que azot pais
El Comercio,ecuador_elcomercio_2018_21,"Caupolican Ochoa, abogado del expresidente, ratifico a EL COMERCIO la ... de la justicia y que ha sido llamado a juicio por un delito de secuestro en Ecuador, ...",polit,8 Nov. 2018,"Rafael Correa dice que no pidio asilo a Belgica, otras fuentes lo ...",2018.0,rafael correa dice que pidio asilo belgica otras fuentes,caupolican ochoa abogado del expresidente ratifico comercio justicia que sido llamado juicio por delito secuestro ecuador,corre dic pidi asil belgic fuent,dice pidio asilo belgica fuentes,rafael corre dic que pidi asil belgic otras fuent,caupolic ocho abog expresident ratif comerci justici sid llam juici delit secuestr,caupolican ochoa abogado expresidente ratifico comercio justicia sido llamado juicio delito secuestro,caupolic ocho abog del expresident ratif comerci justici que sid llam juici por delit secuestr ecuador
El Comercio (Ecuador),ecuador_elcomercio_2016_70,"El motivo fue discutir la inversion actual y potencial de ese pais en Ecuador, asi ... Presidente de la Camara de Comercio e Industria de la Federacion de Rusia; ...",economi,28 Mar. 2016,Ecuador sigue estrechando relaciones con Bielorrusia y Rusia,2016.0,ecuador sigue estrechando relaciones con bielorrusia rusia,motivo fue discutir inversion actual potencial ese pais ecuador asi presidente camara comercio industria federacion rusia,sig estrech relacion bielorrusi rusi,sigue estrechando relaciones bielorrusia rusia,ecuador sig estrech relacion con bielorrusi rusi,motiv discut inversion actual potencial pais asi president cam comerci industri federacion rusi,motivo discutir inversion actual potencial pais asi presidente camara comercio industria federacion rusia,motiv fue discut inversion actual potencial ese pais ecuador asi president cam comerci industri federacion rusi
La Hora (Ecuador),ecuador_lahora_2017_5,Entre 3 y 4 ninas son violadas cada dia en Ecuador ... se presentaron las cifras mas recientes que se tienen sobre la violencia contra las mujeres en Ecuador.,crime,12 Jul. 2017,Entre 3 y 4 ninas son violadas cada dia en Ecuador,2017.0,entre ninas son violadas cada dia ecuador,entre ninas son violadas cada dia ecuador presentaron las cifras mas recientes que tienen sobre violencia contra las mujeres ecuador,nin viol cad dia,ninas violadas cada dia,entre nin son viol cad dia ecuador,nin viol cad dia present cifr mas recient tien sobr violenci contr mujer,ninas violadas cada dia presentaron cifras mas recientes violencia mujeres,entre nin son viol cad dia ecuador present las cifr mas recient que tien sobr violenci contr las mujer ecuador
El Comercio,ecuador_elcomercio_2018_78,"El canciller Jose Valencia anuncio este martes 28 de agosto del 2018, que el estado de emergencia por el flujo de migrantes venezolanos se ampliara por un ...",polit,28 ago. 2018,Ecuador amplia el estado de emergencia por un mes por el exodo de ...,2018.0,ecuador amplia estado emergencia por mes por exodo,canciller jose valencia anuncio este martes agosto del que estado emergencia por flujo migrantes venezolanos ampliara por,ampli emergent mes exod,amplia emergencia mes exodo,ecuador ampli estad emergent por mes por exod,cancill jos valenci anunci mart agost emergent fluj migrant venezolan ampli,canciller jose anuncio martes agosto emergencia flujo migrantes venezolanos ampliara,cancill jos valenci anunci este mart agost del que estad emergent por fluj migrant venezolan ampli por
El Universo,ecuador_eluniverso_2017_91,"La inversion en oro que realizo esta semana el Banco Central del Ecuador (BCE) en Goldman Sachs (por 300.000 onzas de oro, equivalentes a $ 387 millones) ...",economi,20 Oct. 2017,Otro credito llega via bonos y oro al Banco Central del Ecuador,2017.0,otro credito llega via bonos oro banco central del ecuador,inversion oro que realizo esta semana banco central del ecuador bce goldman sachs por onzas oro equivalentes millones,credit lleg via bon oro banc central,credito llega via bonos oro banco central,otro credit lleg via bon oro banc central del ecuador,inversion oro realiz seman banc central bce goldm sachs onzas oro equivalent millon,inversion oro realizo semana banco central bce goldman sachs onzas oro equivalentes millones,inversion oro que realiz esta seman banc central del ecuador bce goldm sachs por onzas oro equivalent millon
El Universo,,Se alistan las actividades para homenajear al Senor de la Salud en la parroquia Santiago de Bolivar (provincia de Bolivar). El pasado 21 de junio los feligreses ...,health,24 jun. 2018 -,Senor de la Salud recibira tributo de los feligreses en Santiago de ...,,senor salud recibira tributo los feligreses santiago,alistan las actividades para homenajear senor salud parroquia santiago bolivar provincia bolivar pasado junio los feligreses,senor salud recibir tribut feligres santiag,senor salud recibira tributo feligreses santiago,senor salud recibir tribut los feligres santiag,alist activ par homenaj senor salud parroqui santiag boliv provinci boliv pas juni feligres,alistan actividades homenajear senor salud parroquia santiago bolivar provincia bolivar pasado junio feligreses,alist las activ par homenaj senor salud parroqui santiag boliv provinci boliv pas juni los feligres
El Universo,ecuador_eluniverso_2015_72,"La Fiscalia General informo ayer que se abrio un proceso legal en contra de 42 personas por el caso de la nina ecuatoriana Noemi A., de 12 anos, quien el 11 ...",crime,24 Feb. 2015,42 personas procesadas por muerte de una nina,2015.0,personas procesadas por muerte una nina,fiscalia general informo ayer que abrio proceso legal contra personas por caso nina ecuatoriana noemi anos quien,person proces muert nin,personas procesadas muerte nina,person proces por muert una nin,fiscali general inform ayer abri proces legal contr person cas nin ecuatorian noemi anos qui,fiscalia general informo ayer abrio proceso legal personas caso nina ecuatoriana noemi anos,fiscali general inform ayer que abri proces legal contr person por cas nin ecuatorian noemi anos qui
La Hora (Ecuador),ecuador_lahora_2018_0,"""Me duele inmensamente esto que ha sucedido, Hemos estado muy pendientes y en constante comunicacion con el Presidente de Ecuador, Lenin Moreno, ...",crime,15 abr. 2018,Santos: 'A los periodistas los secuestraron en Ecuador y ...,2018.0,santos los periodistas los secuestraron ecuador,duele inmensamente esto que sucedido hemos estado muy pendientes constante comunicacion con presidente ecuador lenin moreno,sant period secuestr,santos periodistas secuestraron,sant los period los secuestr ecuador,duel inmens suced hem pendient constant comunicacion president moren,duele inmensamente sucedido pendientes constante comunicacion presidente,duel inmens esto que suced hem estad muy pendient constant comunicacion con president ecuador lenin moren
,,Graduados de la Universidad de Guayaquil piden registro de titulos. estudiantes. Graduados de Medicina exigieron agilidad en registro de sus titulos ya que no ...,educ,13 nov. 2018 -,Graduados de la Universidad de Guayaquil piden registro de titulos ...,,graduados universidad guayaquil piden registro titulos,graduados universidad guayaquil piden registro titulos estudiantes graduados medicina exigieron agilidad registro sus titulos que,gradu univers pid registr titul,graduados universidad piden registro titulos,gradu univers guayaquil pid registr titul,gradu univers pid registr titul estudi gradu medicin exig agil registr titul,graduados universidad piden registro titulos estudiantes graduados medicina exigieron agilidad registro titulos,gradu univers guayaquil pid registr titul estudi gradu medicin exig agil registr sus titul que
El Comercio (Ecuador),ecuador_elcomercio_2018_32,"La actual canciller de Ecuador, Maria Fernanda Espinosa, quien el martes 5 de ... El excanciller Heinz Moeller explico a EL COMERCIO que Ecuador, al ser el ...",polit,6 Jun. 2018,?Ecuador pagara a Maria Fernanda Espinosa por su cargo en la ONU?,2018.0,ecuador pagara maria fernanda espinosa por cargo onu,actual canciller ecuador maria fernanda espinosa quien martes excanciller heinz moeller explico comercio que ecuador ser,pag mari fernand espin carg onu,pagara maria fernanda espinosa cargo onu,ecuador pag mari fernand espin por carg onu,actual cancill mari fernand espin qui mart excancill heinz moell explic comerci ser,actual canciller maria fernanda espinosa martes excanciller heinz moeller explico comercio ser,actual cancill ecuador mari fernand espin qui mart excancill heinz moell explic comerci que ecuador ser
El Universo,ecuador_eluniverso_2018_83,"El diesel para transporte publico y gas de uso domestico no se veran modificados, dijo el ministro de Economia, Richard Martinez, al mismo tiempo que anuncio ...",economi,18 dic. 2018,Ecuador reduce subsidios de gasolina extra y ecopais,2018.0,ecuador reduce subsidios gasolina extra ecopais,diesel para transporte publico gas uso domestico veran modificados dijo ministro economia richard martinez mismo tiempo que anuncio,reduc subsidi gasolin extra ecopais,reduce subsidios gasolina extra ecopais,ecuador reduc subsidi gasolin extra ecopais,diesel par transport public gas uso domest ver modific dij ministr economi richard martinez mism tiemp anunci,diesel transporte publico gas uso domestico veran modificados dijo ministro economia richard martinez mismo tiempo anuncio,diesel par transport public gas uso domest ver modific dij ministr economi richard martinez mism tiemp que anunci
El Comercio (Ecuador),ecuador_elcomercio_2016_81,"El Ministerio de Finanzas coloco hoy 25 de julio del 2016 USD 1 000 millones en bonos soberanos en el mercado de capitales internacionales, informo la ...",economi,26 Jul. 2016,Ecuador coloco USD 1 000 millones en bonos soberanos en mercado ...,2016.0,ecuador coloco usd millones bonos soberanos mercado,ministerio finanzas coloco hoy julio del usd millones bonos soberanos mercado capitales internacionales informo,coloc usd millon bon soberan merc,coloco usd millones bonos soberanos mercado,ecuador coloc usd millon bon soberan merc,ministeri finanz coloc hoy juli usd millon bon soberan merc capital internacional inform,ministerio finanzas coloco hoy julio usd millones bonos soberanos mercado capitales internacionales informo,ministeri finanz coloc hoy juli del usd millon bon soberan merc capital internacional inform
El Universo,,Desde el 2007 hasta mayo del 2018 hubo 1 027 casos de este tipo en todo el Ecuador. 13 planteles educativos han sido intervenidos en dos anos por casos de ...,educ,5 dic. 2018 -,Un alumno de un colegio de Chone agredio a su companera de aula ...,,alumno colegio chone agredio companera aula,desde hasta mayo del hubo casos este tipo todo ecuador planteles educativos han sido intervenidos dos anos por casos,alumn colegi chon agredi companer aul,alumno colegio chone agredio companera aula,alumn colegi chon agredi companer aul,desd hast may hub cas tip tod plantel educ sid interven dos anos cas,mayo casos tipo planteles educativos sido intervenidos dos anos casos,desd hast may del hub cas este tip tod ecuador plantel educ han sid interven dos anos por cas
El Comercio (Ecuador),ecuador_elcomercio_2017_84,Ecuador advierte que las decisiones de Caracas no pueden ser ... para los Pueblos de Nuestra America - Tratado de Comercio de los Pueblos (ALBA-TCP).,polit,7 ago. 2017,Ecuador responde a decision del Mercosur de suspender a Venezuela,2017.0,ecuador responde decision del mercosur suspender venezuela,ecuador advierte que las decisiones caracas pueden ser para los pueblos nuestra america tratado comercio los pueblos alba tcp,respond decision mercosur suspend venezuel,responde decision mercosur suspender venezuela,ecuador respond decision del mercosur suspend venezuel,adviert decision carac pued ser par puebl nuestr amer trat comerci puebl alba tcp,advierte decisiones caracas pueden ser pueblos america tratado comercio pueblos alba tcp,ecuador adviert que las decision carac pued ser par los puebl nuestr amer trat comerci los puebl alba tcp
El Comercio (Ecuador),ecuador_elcomercio_2017_69,"El ministro de Comercio Exterior, Pablo Campana, asegura en una entrevista a ... En Dubai, en concreto, Ecuador busca incrementar sus exportaciones, y en el ...",economi,21 Nov. 2017,Ecuador busca sellar 'un acuerdo comercial a largo plazo' con Emiratos,2017.0,ecuador busca sellar acuerdo comercial largo plazo con emiratos,ministro comercio exterior pablo campana asegura una entrevista dubai concreto ecuador busca incrementar sus exportaciones,busc sell acuerd comercial larg plaz emirat,busca sellar acuerdo comercial largo plazo emiratos,ecuador busc sell acuerd comercial larg plaz con emirat,ministr comerci exterior pabl campan asegur entrev dubai concret busc increment export,ministro comercio exterior pablo campana asegura entrevista dubai concreto busca incrementar exportaciones,ministr comerci exterior pabl campan asegur una entrev dubai concret ecuador busc increment sus export
El Universo,,"En estos planes, los seguros contratan profesionales especialistas en diferentes campos de la salud y dependiendo del nivel del plan que solicite el usuario, ...",health,20 ago. 2018 -,Asegurar la calidad en los seguros de salud,,asegurar calidad los seguros salud,estos planes los seguros contratan profesionales especialistas diferentes campos salud dependiendo del nivel del plan que solicite usuario,asegur calid segur salud,asegurar calidad seguros salud,asegur calid los segur salud,plan segur contrat profesional especial diferent camp salud depend nivel plan solicit usuari,planes seguros contratan profesionales especialistas diferentes campos salud dependiendo nivel plan solicite usuario,estos plan los segur contrat profesional especial diferent camp salud depend del nivel del plan que solicit usuari
El Universo,ecuador_eluniverso_2016_104,"La inflacion mensual de Ecuador aumento de 0,03% en mayo a 0,36% en junio, mientras que el acumulado en el primer semestre de 2016 paso a 1,29%, ...",economi,6 Jul. 2016,"Inflacion de Ecuador aumento 0,36% en junio, segun INEC",2016.0,inflacion ecuador aumento junio segun inec,inflacion mensual ecuador aumento mayo junio mientras que acumulado primer semestre paso,inflacion aument juni segun inec,inflacion aumento junio segun inec,inflacion ecuador aument juni segun inec,inflacion mensual aument may juni mientr acumul prim semestr pas,inflacion mensual aumento mayo junio mientras acumulado primer semestre paso,inflacion mensual ecuador aument may juni mientr que acumul prim semestr pas
El Comercio (Ecuador),ecuador_elcomercio_2016_68,"Sixto Duran Ballen se encuentra en la historia de gloria de las Fuerzas Armadas de Ecuador. En 1995 fue el Comandante en Jefe, como presidente de Ecuador ...",health,16 Nov. 2016,Ni un paso atras' los 18 hitos de la vida publica y politica de Sixto ...,2016.0,paso atras los hitos vida publica politica sixto,sixto duran ballen encuentra historia gloria las fuerzas armadas ecuador fue comandante jefe como presidente ecuador,pas atras hit vid public polit sixt,paso atras hitos vida publica politica sixto,pas atras los hit vid public polit sixt,sixt dur ball encuentr histori glori fuerz armad comand jef com president,sixto duran ballen encuentra historia gloria fuerzas armadas comandante jefe presidente,sixt dur ball encuentr histori glori las fuerz armad ecuador fue comand jef com president ecuador
El Comercio (Ecuador),ecuador_elcomercio_2016_85,"""""El Gobierno de Ecuador no alcanza por completo los estandares de eliminacion de la trata de personas. Sin embargo, se encuentra realizando esfuerzos ...""""",crime,1 Jul. 2016,"Ecuador aun es pais fuente, de transito y destino de trata, segun ...",2016.0,ecuador aun pais fuente transito destino trata segun,gobierno ecuador alcanza por completo los estandares eliminacion trata personas sin embargo encuentra realizando esfuerzos,aun pais fuent transit destin trat segun,aun pais fuente transito destino trata segun,ecuador aun pais fuent transit destin trat segun,gobiern alcanz complet estandar eliminacion trat person embarg encuentr realiz esfuerz,gobierno alcanza completo estandares eliminacion trata personas embargo encuentra realizando esfuerzos,gobiern ecuador alcanz por complet los estandar eliminacion trat person sin embarg encuentr realiz esfuerz
El Comercio (Ecuador),ecuador_elcomercio_2017_81,"Assange se refugio en junio de 2012 en la embajada de Ecuador en ... El 8 de mayo, Ecuador habia denunciado en una carta dirigida al gobierno sueco la ...",crime,19 May. 2017,Archivada la investigacion por violacion contra Julian Assange en ...,2017.0,archivada investigacion por violacion contra julian assange,assange refugio junio embajada ecuador mayo ecuador habia denunciado una carta dirigida gobierno sueco,archiv investigacion violacion contr juli assang,archivada investigacion violacion julian assange,archiv investigacion por violacion contr juli assang,assang refugi juni embaj may habi denunci cart dirig gobiern suec,assange refugio junio embajada mayo habia denunciado carta dirigida gobierno sueco,assang refugi juni embaj ecuador may ecuador habi denunci una cart dirig gobiern suec
El Universo,,"El Dia Mundial de la Salud, que se recordo ayer con charlas y casas abiertas en centros de salud, se centro en tratar sobre la depresion. Es una enfermedad ...",health,8 abr. 2017 -,En Dia Mundial de la Salud se hablo sobre la depresion,,dia mundial salud hablo sobre depresion,dia mundial salud que recordo ayer con charlas casas abiertas centros salud centro tratar sobre depresion una enfermedad,dia mundial salud habl sobr depresion,dia mundial salud hablo depresion,dia mundial salud habl sobr depresion,dia mundial salud record ayer charl cas abiert centr salud centr trat sobr depresion enfermed,dia mundial salud recordo ayer charlas casas abiertas centros salud centro tratar depresion enfermedad,dia mundial salud que record ayer con charl cas abiert centr salud centr trat sobr depresion una enfermed
El Comercio (Ecuador),ecuador_elcomercio_2016_37,"Chevron gano en Estados Unidos este 8 de agosto una importante batalla en la saga judicial que le enfrenta a las autoridades de Ecuador, que le acusan de ...",polit,8 ago. 2016,Chevron gana en EE.UU. una importante batalla judicial contra Ecuador,2016.0,chevron gana una importante batalla judicial contra ecuador,chevron gano estados unidos este agosto una importante batalla saga judicial que enfrenta las autoridades ecuador que acusan,chevron gan import batall judicial contr,chevron gana importante batalla judicial,chevron gan una import batall judicial contr ecuador,chevron gan unid agost import batall sag judicial enfrent autor acus,chevron gano unidos agosto importante batalla saga judicial enfrenta autoridades acusan,chevron gan estad unid este agost una import batall sag judicial que enfrent las autor ecuador que acus
El Comercio (Ecuador),ecuador_elcomercio_2018_20,"El gobierno de Ecuador hara ""lo imposible"" para lograr la liberacion de un equipo periodistico del Diario EL COMERCIO, que fue secuestrado hace una ...",crime,3 abr. 2018,Ecuador hara 'lo imposible' por la liberacion de periodistas secuestrados,2018.0,ecuador hara imposible por liberacion periodistas secuestrados,gobierno ecuador hara imposible para lograr liberacion equipo periodistico del diario comercio que fue secuestrado hace una,har impos liberacion period secuestr,hara imposible liberacion periodistas secuestrados,ecuador har impos por liberacion period secuestr,gobiern har impos par logr liberacion equip periodist diari comerci secuestr hac,gobierno hara imposible lograr liberacion equipo periodistico diario comercio secuestrado hace,gobiern ecuador har impos par logr liberacion equip periodist del diari comerci que fue secuestr hac una
El Universo,ecuador_eluniverso_2015_56,El tecnico de la seleccion argentina de futbol Gerardo Martino convoco al arquero Geronimo Rulli y ratifico al atacante Carlos Tevez en la lista que entrego ...,sport,10 Mar. 2015,Carlos Tevez fue citado para enfrentar a Ecuador,2015.0,carlos tevez fue citado para enfrentar ecuador,tecnico seleccion argentina futbol gerardo martino convoco arquero geronimo rulli ratifico atacante carlos tevez lista que entrego,carl tevez cit par enfrent,carlos tevez citado enfrentar,carl tevez fue cit par enfrent ecuador,tecnic seleccion argentin futbol gerard martin convoc arquer geronim rulli ratif atac carl tevez list entreg,tecnico seleccion argentina futbol gerardo martino convoco arquero geronimo rulli ratifico atacante carlos tevez lista entrego,tecnic seleccion argentin futbol gerard martin convoc arquer geronim rulli ratif atac carl tevez list que entreg
El Comercio (Ecuador),ecuador_elcomercio_2017_15,"Sin embargo, cuando de violaciones de los derechos humanos se trata, el Ecuador ha tenido una luz que es guia en medio de la oscuridad: la Doctrina Roldos.",polit,15 ago. 2017,Ecuador y Venezuela,2017.0,ecuador venezuela,sin embargo cuando violaciones los derechos humanos trata ecuador tenido una luz que guia medio oscuridad doctrina roldos,venezuel,venezuela,ecuador venezuel,embarg cuand violacion derech human trat ten luz gui medi oscur doctrin rold,embargo violaciones derechos humanos trata luz guia medio oscuridad doctrina roldos,sin embarg cuand violacion los derech human trat ecuador ten una luz que gui medi oscur doctrin rold
El Comercio,ecuador_elcomercio_2015_52,"El presidente de Ecuador, Rafael Correa, dijo hoy, 10 de febrero de 2015, que ... ""golpeada de muerte"" con la firma de tratados de libre comercio con Estados ...",economi,10 Feb. 2015,Presidente Correa ve necesario analizar la continuidad del pais en la ...,2015.0,presidente correa necesario analizar continuidad del pais,presidente ecuador rafael correa dijo hoy febrero que golpeada muerte con firma tratados libre comercio con estados,president corre necesari analiz continu pais,presidente necesario analizar continuidad pais,president corre necesari analiz continu del pais,president corre dij hoy febrer golp muert firm trat libr comerci,presidente dijo hoy febrero golpeada muerte firma tratados libre comercio,president ecuador rafael corre dij hoy febrer que golp muert con firm trat libr comerci con estad
El Comercio,ecuador_elcomercio_2018_43,"El expresidente de Ecuador Rafael Correa considero ""muy grave"" para el pais que Interpol haya rechazado la solicitud de la justicia ecuatoriana de emitir una ...",polit,5 dic. 2018,Rafael Correa cree que es 'muy grave para Ecuador que Interpol ...,2018.0,rafael correa cree que muy grave para ecuador que interpol,expresidente ecuador rafael correa considero muy grave para pais que interpol haya rechazado solicitud justicia ecuatoriana emitir una,corre cre grav par interpol,cree grave interpol,rafael corre cre que muy grav par ecuador que interpol,expresident corre consider grav par pais interpol rechaz solicitud justici ecuatorian emit,expresidente considero grave pais interpol rechazado solicitud justicia ecuatoriana emitir,expresident ecuador rafael corre consider muy grav par pais que interpol hay rechaz solicitud justici ecuatorian emit una
El Comercio (Ecuador),ecuador_elcomercio_2017_21,A Ecuador no se le recuerda un inicio tan dubitativo en el Atahualpa que habia sido su fortin. Peru no habia ganado nunca en Quito por eliminatorias. Ayer los ...,sport,5 Sep. 2017,!Decepcion en el Atahualpa!,2017.0,decepcion atahualpa,ecuador recuerda inicio tan dubitativo atahualpa que habia sido fortin peru habia ganado nunca quito por eliminatorias ayer los,decepcion atahualp,decepcion atahualpa,decepcion atahualp,recuerd inici tan dubit atahualp habi sid fortin peru habi gan nunc quit eliminatori ayer,recuerda inicio tan dubitativo atahualpa habia sido fortin peru habia ganado nunca eliminatorias ayer,ecuador recuerd inici tan dubit atahualp que habi sid fortin peru habi gan nunc quit por eliminatori ayer los
El Universo,ecuador_eluniverso_2018_52,"... contra miembros de grupos armados disidente relacionados directamente con el narcotrafico que operan en Colombia, al margen de la frontera ecuatoriana.",crime,27 Mar. 2018,"Equipo periodistico de diario El Comercio fue secuestrado, confirman ...",2018.0,equipo periodistico diario comercio fue secuestrado confirman,contra miembros grupos armados disidente relacionados directamente con narcotrafico que operan colombia margen frontera ecuatoriana,equip periodist diari comerci secuestr confirm,equipo periodistico diario comercio secuestrado confirman,equip periodist diari comerci fue secuestr confirm,contr miembr grup armad disident relacion direct narcotraf oper colombi marg fronter ecuatorian,miembros grupos armados disidente relacionados directamente narcotrafico operan colombia margen frontera ecuatoriana,contr miembr grup armad disident relacion direct con narcotraf que oper colombi marg fronter ecuatorian
